STDs	Urine
0.09%	0.12%
0.21%	0.18%
0.15%	0.09%
0.29%	0.26%
0.13%	0.05%
0.27%	0.13%
0.25%	0.21%
0.20%	0.16%
0.28%	0.17%
0.18%	0.18%
0.11%	0.13%
0.08%	0.12%
0.08%	0.10%
0.11%	0.21%
0.15%	0.20%
0.25%	0.17%
0.29%	0.08%
0.20%	0.13%
0.32%	0.14%
0.05%	0.09%
0.12%	0.09%
0.45%	NaN
0.10%	0.09%
0.10%	0.18%
0.20%	0.07%
0.17%	0.20%
0.16%	0.08%
0.05%	0.19%
0.20%	0.05%
0.09%	0.17%
0.14%	0.08%
0.07%	0.00%
0.11%	0.09%
0.11%	0.10%
0.06%	0.14%
0.17%	0.17%
0.27%	0.22%
0.16%	0.24%
0.15%	0.12%
0.05%	0.09%
0.12%	0.10%
0.18%	0.16%
0.09%	0.15%
0.12%	0.16%
0.13%	0.14%
0.10%	0.14%
0.14%	0.16%
0.19%	0.17%
0.14%	0.09%
0.14%	0.10%
0.12%	0.14%
0.18%	0.11%
0.07%	0.36%
0.10%	0.17%
